# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-10-07 12:43:50 EDT	(natwebvaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09352900 VALLECITO CREEK NEAR BAYFIELD, CO.
# -----------------------------------------------------------------------------------
#
# Data provided for site 09352900
#    DD parameter   Description
#    02   00060     Discharge, cubic feet per second
#    01   00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#     Eqp  Equipment malfunction
#
agency_cd	site_no	datetime	tz_cd	02_00060	02_00060_cd	01_00065	01_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09352900	2015-09-30 10:45	MDT	34	P	0.91	P
USGS	09352900	2015-09-30 11:00	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 11:15	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 11:30	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 11:45	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 12:00	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 12:15	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 12:30	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 12:45	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 13:00	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 13:15	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 13:30	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 13:45	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 14:00	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 14:15	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 14:30	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 14:45	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 15:00	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 15:15	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 15:30	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 15:45	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 16:00	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 16:15	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 16:30	MDT	36	P	0.93	P
USGS	09352900	2015-09-30 16:45	MDT	36	P	0.93	P
USGS	09352900	2015-09-30 17:00	MDT	36	P	0.93	P
USGS	09352900	2015-09-30 17:15	MDT	36	P	0.93	P
USGS	09352900	2015-09-30 17:30	MDT	36	P	0.94	P
USGS	09352900	2015-09-30 17:45	MDT	36	P	0.94	P
USGS	09352900	2015-09-30 18:00	MDT	36	P	0.93	P
USGS	09352900	2015-09-30 18:15	MDT	36	P	0.93	P
USGS	09352900	2015-09-30 18:30	MDT	36	P	0.93	P
USGS	09352900	2015-09-30 18:45	MDT	36	P	0.93	P
USGS	09352900	2015-09-30 19:00	MDT	36	P	0.93	P
USGS	09352900	2015-09-30 19:15	MDT	36	P	0.93	P
USGS	09352900	2015-09-30 19:30	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 19:45	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 20:00	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 20:15	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 20:30	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 20:45	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 21:00	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 21:15	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 21:30	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 21:45	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 22:00	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 22:15	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 22:30	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 22:45	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 23:00	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 23:15	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 23:30	MDT	35	P	0.92	P
USGS	09352900	2015-09-30 23:45	MDT	35	P	0.92	P
USGS	09352900	2015-10-01 00:00	MDT	35	P	0.92	P
USGS	09352900	2015-10-01 00:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 00:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 00:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 01:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 01:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 01:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 01:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 02:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 02:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 02:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 02:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 03:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 03:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 03:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 03:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 04:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 04:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 04:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 04:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 05:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 05:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 05:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 05:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 06:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 06:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 06:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 06:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 07:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 07:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 07:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 07:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 08:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 08:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 08:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 08:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 09:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 09:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 09:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 09:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 10:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 10:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 10:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 10:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 11:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 11:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 11:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 11:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 12:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 12:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 12:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 12:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 13:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 13:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 13:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 13:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 14:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 14:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 14:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 14:45	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 15:00	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 15:15	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 15:30	MDT	34	P	0.91	P
USGS	09352900	2015-10-01 15:45	MDT	34	P	0.90	P
USGS	09352900	2015-10-01 16:00	MDT	34	P	0.90	P
USGS	09352900	2015-10-01 16:15	MDT	34	P	0.90	P
USGS	09352900	2015-10-01 16:30	MDT	34	P	0.90	P
USGS	09352900	2015-10-01 16:45	MDT	34	P	0.90	P
USGS	09352900	2015-10-01 17:00	MDT	34	P	0.90	P
USGS	09352900	2015-10-01 17:15	MDT	34	P	0.90	P
USGS	09352900	2015-10-01 17:30	MDT	34	P	0.90	P
