# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-05-27 22:24:40 EDT	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06765500 SOUTH PLATTE RIVER AT NORTH PLATTE, NEBR.
# -----------------------------------------------------------------------------------
#
# Data provided for site 06765500
#    DD parameter   Description
#    13   00060     Discharge, cubic feet per second
#    03   00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	13_00060	13_00060_cd	03_00065	03_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	06765500	2015-05-20 21:30	CDT	11300	P	12.35	P
USGS	06765500	2015-05-20 21:45	CDT	11200	P	12.32	P
USGS	06765500	2015-05-20 22:00	CDT	11200	P	12.33	P
USGS	06765500	2015-05-20 22:15	CDT	11300	P	12.36	P
USGS	06765500	2015-05-20 22:30	CDT	11300	P	12.36	P
USGS	06765500	2015-05-20 22:45	CDT	11300	P	12.37	P
USGS	06765500	2015-05-20 23:00	CDT	11300	P	12.36	P
USGS	06765500	2015-05-20 23:15	CDT	11100	P	12.29	P
USGS	06765500	2015-05-20 23:30	CDT	11100	P	12.29	P
USGS	06765500	2015-05-20 23:45	CDT	11000	P	12.27	P
USGS	06765500	2015-05-21 00:00	CDT	11100	P	12.30	P
USGS	06765500	2015-05-21 00:15	CDT	11200	P	12.32	P
USGS	06765500	2015-05-21 00:30	CDT	10900	P	12.22	P
USGS	06765500	2015-05-21 00:45	CDT	11000	P	12.26	P
USGS	06765500	2015-05-21 01:00	CDT	11100	P	12.31	P
USGS	06765500	2015-05-21 01:15	CDT	11100	P	12.31	P
