# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-05-27 15:56:02 EDT	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09352900 VALLECITO CREEK NEAR BAYFIELD, CO.
# -----------------------------------------------------------------------------------
#
# Data provided for site 09352900
#    DD parameter   Description
#    02   00060     Discharge, cubic feet per second
#    01   00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	02_00060	02_00060_cd	01_00065	01_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09352900	2015-05-20 14:00	MDT	245	P	1.98	P
USGS	09352900	2015-05-20 14:15	MDT	249	P	1.99	P
USGS	09352900	2015-05-20 14:30	MDT	249	P	1.99	P
USGS	09352900	2015-05-20 14:45	MDT	249	P	1.99	P
USGS	09352900	2015-05-20 15:00	MDT	249	P	1.99	P
USGS	09352900	2015-05-20 15:15	MDT	249	P	1.99	P
USGS	09352900	2015-05-20 15:30	MDT	249	P	1.99	P
USGS	09352900	2015-05-20 15:45	MDT	249	P	1.99	P
USGS	09352900	2015-05-20 16:00	MDT	249	P	1.99	P
USGS	09352900	2015-05-20 16:15	MDT	253	P	2.00	P
USGS	09352900	2015-05-20 16:30	MDT	253	P	2.00	P
USGS	09352900	2015-05-20 16:45	MDT	253	P	2.00	P
USGS	09352900	2015-05-20 17:00	MDT	253	P	2.00	P
USGS	09352900	2015-05-20 17:15	MDT	257	P	2.01	P
USGS	09352900	2015-05-20 17:30	MDT	257	P	2.01	P
USGS	09352900	2015-05-20 17:45	MDT	257	P	2.01	P
USGS	09352900	2015-05-20 18:00	MDT	261	P	2.02	P
USGS	09352900	2015-05-20 18:15	MDT	261	P	2.02	P
USGS	09352900	2015-05-20 18:30	MDT	261	P	2.02	P
USGS	09352900	2015-05-20 18:45	MDT	261	P	2.02	P
USGS	09352900	2015-05-20 19:00	MDT	265	P	2.03	P
USGS	09352900	2015-05-20 19:15	MDT	270	P	2.04	P
USGS	09352900	2015-05-20 19:30	MDT	270	P	2.04	P
USGS	09352900	2015-05-20 19:45	MDT	270	P	2.04	P
USGS	09352900	2015-05-20 20:00	MDT	274	P	2.05	P
USGS	09352900	2015-05-20 20:15	MDT	274	P	2.05	P
USGS	09352900	2015-05-20 20:30	MDT	274	P	2.05	P
USGS	09352900	2015-05-20 20:45	MDT	274	P	2.05	P
USGS	09352900	2015-05-20 21:00	MDT	274	P	2.05	P
