# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-10-20 17:37:14 EDT	(natwebsdas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09510000 VERDE RIVER BELOW BARTLETT DAM, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09510000
#    DD parameter   Description
#    11   00060     Discharge, cubic feet per second
#    10   00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	11_00060	11_00060_cd	10_00065	10_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	09510000	2015-10-13 14:45	MST	132	P	0.80	P
USGS	09510000	2015-10-13 15:00	MST	131	P	0.79	P
USGS	09510000	2015-10-13 15:15	MST	131	P	0.79	P
USGS	09510000	2015-10-13 15:30	MST	132	P	0.80	P
USGS	09510000	2015-10-13 15:45	MST	131	P	0.79	P
USGS	09510000	2015-10-13 16:00	MST	132	P	0.80	P
USGS	09510000	2015-10-13 16:15	MST	132	P	0.80	P
USGS	09510000	2015-10-13 16:30	MST	131	P	0.79	P
USGS	09510000	2015-10-13 16:45	MST	131	P	0.79	P
USGS	09510000	2015-10-13 17:00	MST	131	P	0.79	P
USGS	09510000	2015-10-13 17:15	MST	131	P	0.79	P
USGS	09510000	2015-10-13 17:30	MST	131	P	0.79	P
USGS	09510000	2015-10-13 17:45	MST	132	P	0.80	P
USGS	09510000	2015-10-13 18:00	MST	132	P	0.80	P
USGS	09510000	2015-10-13 18:15	MST	131	P	0.79	P
USGS	09510000	2015-10-13 18:30	MST	132	P	0.80	P
USGS	09510000	2015-10-13 18:45	MST	132	P	0.80	P
USGS	09510000	2015-10-13 19:00	MST	132	P	0.80	P
USGS	09510000	2015-10-13 19:15	MST	132	P	0.80	P
USGS	09510000	2015-10-13 19:30	MST	132	P	0.80	P
USGS	09510000	2015-10-13 19:45	MST	132	P	0.80	P
USGS	09510000	2015-10-13 20:00	MST	132	P	0.80	P
USGS	09510000	2015-10-13 20:15	MST	132	P	0.80	P
USGS	09510000	2015-10-13 20:30	MST	132	P	0.80	P
USGS	09510000	2015-10-13 20:45	MST	132	P	0.80	P
USGS	09510000	2015-10-13 21:00	MST	132	P	0.80	P
USGS	09510000	2015-10-13 21:15	MST	132	P	0.80	P
USGS	09510000	2015-10-13 21:30	MST	132	P	0.80	P
USGS	09510000	2015-10-13 21:45	MST	132	P	0.80	P
USGS	09510000	2015-10-13 22:00	MST	132	P	0.80	P
USGS	09510000	2015-10-13 22:15	MST	132	P	0.80	P
USGS	09510000	2015-10-13 22:30	MST	132	P	0.80	P
USGS	09510000	2015-10-13 22:45	MST	132	P	0.80	P
USGS	09510000	2015-10-13 23:00	MST	132	P	0.80	P
USGS	09510000	2015-10-13 23:15	MST	132	P	0.80	P
USGS	09510000	2015-10-13 23:30	MST	132	P	0.80	P
USGS	09510000	2015-10-13 23:45	MST	132	P	0.80	P
USGS	09510000	2015-10-14 00:00	MST	134	P	0.81	P
USGS	09510000	2015-10-14 00:15	MST	132	P	0.80	P
USGS	09510000	2015-10-14 00:30	MST	132	P	0.80	P
USGS	09510000	2015-10-14 00:45	MST	132	P	0.80	P
USGS	09510000	2015-10-14 01:00	MST	132	P	0.80	P
USGS	09510000	2015-10-14 01:15	MST	134	P	0.81	P
USGS	09510000	2015-10-14 01:30	MST	134	P	0.81	P
